,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
801,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0004.flac,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818185,0.2636363636363636,0.18948131335972374,0.5454545454545454,0.6753246753246753,0.6432644418268454,0.8181818181818182,0.948051948051948,1.0,0.18181818181818185,0.3305785123966941,0.18875467403908489,0.9090909090909092,0.9818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6363636363636364,0.8545454545454545,0.6073226412889421,M
802,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0005.flac,0.2222222222222222,0.3950617283950617,0.2494171003421697,0.8888888888888888,0.9555555555555556,1.0,1.0,1.0,1.0,0.3888888888888889,0.5798611111111109,0.4693584724078486,0.5555555555555556,0.7908496732026145,0.5885810438131938,0.6666666666666666,0.8333333333333334,0.9997936818909298,0.6111111111111112,0.775,0.9996398563102552,0.9444444444444444,0.9930555555555556,1.0,0.8333333333333334,0.875,1.0,0.8888888888888888,0.9444444444444444,1.0,0.6666666666666666,0.8461538461538461,0.9997642303968336,M
803,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0006.flac,0.4615384615384616,0.6483516483516483,0.5425300740873551,0.9230769230769232,0.9923076923076924,1.0,0.8461538461538461,0.9692307692307692,1.0,0.5384615384615384,0.7692307692307692,1.0,0.8461538461538461,0.9763313609467456,1.0,1.0769230769230769,0.9948717948717948,1.0,0.5384615384615384,0.7692307692307692,0.9999999999999998,0.6153846153846154,0.8397435897435898,0.9997510892256306,1.0,1.0,1.0,0.9230769230769232,0.9923076923076924,1.0,0.5384615384615384,0.7869822485207101,0.9997167137777274,M
804,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0007.flac,0.2727272727272727,0.40814393939393945,0.3234990332214781,0.7272727272727273,0.9055944055944056,0.7111836016784305,0.7575757575757576,0.9118457300275482,0.8098506538148906,0.2727272727272727,0.3890518084066472,0.29684173839912104,0.4848484848484849,0.6872294372294372,0.5649119094004922,0.5454545454545454,0.6872294372294372,0.5471506962204761,0.5151515151515151,0.675645342312009,0.498654905798261,0.6666666666666666,0.7555555555555555,0.9998361258359836,0.9393939393939394,0.9757575757575756,1.0,0.7878787878787878,0.8762626262626263,0.9068063381837059,0.6363636363636364,0.8102766798418972,0.696563779810716,M
805,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0008.flac,0.17647058823529413,0.2647058823529411,0.19328681323564856,0.7647058823529411,0.9327731092436976,1.0,0.4705882352941176,0.6596638655462185,0.5149305495991494,0.17647058823529413,0.2647058823529411,0.19328681323564856,0.4705882352941176,0.6823529411764706,0.5617155725887352,0.6470588235294118,0.8371040723981898,1.0,0.17647058823529413,0.2647058823529411,0.19328681323564856,0.29411764705882354,0.4705882352941176,0.3112211025045546,0.35294117647058826,0.4915966386554622,0.4186009962191988,0.7058823529411765,0.8529411764705882,0.9998380728835748,0.35294117647058826,0.4524886877828054,0.42361249500646303,M
806,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0009.flac,0.625,0.75,0.9996487556183012,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7142857142857143,0.9996500019477159,1.0,1.0,1.0,0.875,0.9375,1.0,0.75,0.875,1.0,0.75,0.9166666666666666,1.0,0.875,0.8875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,M
807,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0010.flac,0.3333333333333333,0.5333333333333334,0.3768121660514351,0.9047619047619048,0.9863945578231292,1.0,0.8571428571428571,0.967032967032967,1.0,0.4761904761904762,0.6398809523809523,0.5898061363189211,0.7142857142857143,0.8703703703703703,0.9997666184327292,0.8571428571428571,0.9761904761904762,0.9998701856388869,0.5238095238095238,0.6598639455782314,0.6351462770864458,0.8571428571428571,0.9571428571428572,1.0,1.0,1.0,1.0,0.9047619047619048,0.9727891156462584,1.0,0.7142857142857143,0.9097744360902256,0.7537693788361475,M
808,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0011.flac,0.625,0.8392857142857143,0.9997479568773942,0.75,0.9285714285714286,1.0,0.9375,0.9895833333333334,1.0,0.75,0.9333333333333332,1.0,0.8125,0.96484375,1.0,0.8125,0.9567307692307692,1.0,0.6875,0.8883928571428571,1.0,0.9375,0.9955357142857144,1.0,0.9375,0.9943181818181818,1.0,0.9375,0.9910714285714286,1.0,0.875,0.9807692307692308,1.0,M
809,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0012.flac,0.25,0.3863636363636364,0.3332800164186148,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.25,0.3863636363636364,0.29600938376104835,0.5,0.7272727272727273,0.9996605047230708,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9833333333333332,1.0,0.9166666666666666,0.9722222222222222,1.0,0.9166666666666666,0.9722222222222222,1.0,0.6666666666666666,0.8518518518518519,0.9997772273172454,M
810,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0013.flac,0.4166666666666667,0.5916666666666667,0.4771077854001482,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,0.75,0.8928571428571429,1.0,0.75,0.931818181818182,1.0,1.0833333333333333,0.953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666666,1.0,M
811,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0014.flac,0.125,0.125,0.1331221002498183,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.1331221002498183,0.375,0.4791666666666666,0.99955971168699,0.375,0.4791666666666666,0.99955971168699,0.375,0.5535714285714286,0.3977715871367472,0.5,0.6,1.0,0.625,0.71875,0.9997783550543416,0.625,0.775,0.9997410235452364,0.125,0.125,0.1331221002498183,M
812,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0015.flac,0.3333333333333333,0.4285714285714286,0.4068752525280765,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4285714285714286,0.4068752525280765,0.6666666666666666,0.8333333333333334,0.9997644745704252,0.6666666666666666,0.8571428571428572,0.9997519344573836,0.5555555555555556,0.7037037037037037,0.6133533266446494,0.8888888888888888,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8571428571428572,0.9997519344573836,M
813,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0016.flac,0.2,0.3599999999999999,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.55,0.9999999999999998,0.8,0.96,1.0,0.8,0.96,1.0,1.0,0.9666666666666668,1.0,1.0,0.9666666666666668,1.0,0.8,0.95,1.0,1.0,1.0,1.0,0.8,0.96,1.0,M
814,D:/hello/ASR/LibriSpeech/test-clean/2830\3980\2830-3980-0017.flac,0.1875,0.2455357142857143,0.2791921164027789,0.6875,0.8579545454545454,0.9998123023723166,0.625,0.7954545454545454,0.9997640019195226,0.3125,0.4598214285714286,0.4074782549373073,0.3125,0.4598214285714286,0.4139521450517605,0.3125,0.4598214285714286,0.4098758598610353,0.25,0.3571428571428572,0.3094832383922562,0.5625,0.7447916666666666,0.6153352010842332,0.6875,0.8046875,0.9998489391537004,0.875,0.9642857142857144,1.0,0.375,0.5535714285714286,0.4098758598610353,M
